acc_mean,acc_std,acc_rms,acc_zc,acc_b01,acc_b15,acc_b5,acc_b15_30,hr_mean,ibi_sdnn,ibi_rmssd,y
15.079985046297558,13.4091833818964,20.179498208307017,0.0,0.0006937814724187486,0.007748744275515613,0.08638693772349357,0.19700611652292727,60000000000.0,1e-09,0.0,0
15.156402660070725,13.128399402030533,20.0517184407516,0.0,0.0008339920355345327,0.010979857526076978,0.07886228982187334,0.18428389952744564,60000000000.0,1e-09,0.0,0
15.513495265717081,14.044591388332694,20.926516255616125,0.0,0.0009080806542253098,0.012590410565152322,0.08790814027428237,0.1897753703644113,60000000000.0,1e-09,0.0,0
15.714586888006172,14.629806723478476,21.470432827443698,0.0,0.0010775063803822936,0.012746755698915936,0.09644424299187573,0.1920874053329398,60000000000.0,1e-09,0.0,0
16.005187506354474,16.110676611096437,22.70946780417088,0.0,0.001297842419555724,0.014210044719323064,0.11175247269986632,0.20912744563452032,60000000000.0,1e-09,0.0,0
15.79614972707633,14.92449722856068,21.731520050279045,0.0,0.001776970636173821,0.013263280208966867,0.09560530926844331,0.20061936329489655,60000000000.0,1e-09,0.0,0
16.10295185212945,15.20058428659624,22.144137395155283,0.0,0.0009874774948718747,0.010961460755788726,0.09038693640165303,0.21332443494894543,60000000000.0,1e-09,0.0,0
15.742297902446905,13.523063881460596,20.75314915776404,0.0,0.0013518968668270108,0.007496604888560964,0.07431178323277388,0.19533547249260444,60000000000.0,1e-09,0.0,0
15.52109489403859,13.479009944453827,20.556947627638642,0.0,0.0034428974195373618,0.010031668841775329,0.07835045852062435,0.18731750656106352,60000000000.0,1e-09,0.0,0
15.117509612740138,13.07605301388762,19.988052913856766,0.0,0.006396481526893287,0.010012165160074298,0.0855624068573783,0.17305993722811838,60000000000.0,1e-09,0.0,0
15.589020872188273,14.359888450754273,21.194904294261573,0.0,0.006574247358981576,0.011179649357901568,0.09399185475498868,0.18826525248335568,60000000000.0,1e-09,0.0,0
15.58043572922698,13.931585453846097,20.900694982285295,0.0,0.0055532246088787615,0.019020051765507567,0.08052244895532588,0.18145957009771915,60000000000.0,1e-09,0.0,0
15.210620038834001,12.881927722943383,19.9325618975372,0.0,0.002969302037032968,0.014009636578101448,0.07633709091351489,0.1706829605526646,60000000000.0,1e-09,0.0,0
14.727943668591761,11.69771938425702,18.808215318701535,0.0,0.0016595394561836853,0.007586350627882881,0.07148407470711252,0.16382647702258063,60000000000.0,1e-09,0.0,0
14.690021293863957,12.464482578816112,19.26551456740405,0.0,0.002345465393212427,0.005892109869304275,0.08511938394919169,0.17566716106259456,60000000000.0,1e-09,0.0,0
15.20154688200173,14.135777516747028,20.758305171193424,0.0,0.0023726343046454566,0.007987867921672616,0.10373940067641278,0.18950412126924107,60000000000.0,1e-09,0.0,0
15.043776432739417,14.314201731682907,20.76563460491712,0.0,0.0027562432735591374,0.01427828380078457,0.10270985018530095,0.19190364418779007,60000000000.0,1e-09,0.0,0
14.941646856169173,14.213422850607476,20.622177379612804,0.0,0.0026258180806944037,0.014292137253151996,0.09760532436247193,0.19767464186342665,60000000000.0,1e-09,0.0,0
14.998541778541606,14.025054873620155,20.534322965772805,0.0,0.0028466448532681447,0.01131548881273338,0.08750529428610847,0.20874609116207932,60000000000.0,1e-09,0.0,0
15.189940238503425,14.148708454232903,20.75861833899091,0.0,0.0007270357704124165,0.006161775888974587,0.08543883911995764,0.22410888340750254,60000000000.0,1e-09,0.0,0
15.315391168107375,13.544666661353025,20.445517884666565,0.0,0.00026008114063919344,0.0054730281543997955,0.0723635800511086,0.21528282211990915,60000000000.0,1e-09,0.0,0
15.222704797615728,12.695000264690583,19.821548200139585,0.0,0.00043756905000589153,0.0043015216317144065,0.06275655654901624,0.1954644131395204,60000000000.0,1e-09,0.0,0
15.015022693895505,11.788419809907433,19.089728863691025,0.0,0.00026352441207037766,0.006405041614330152,0.05435425205885994,0.1746335631314081,60000000000.0,1e-09,0.0,0
15.450602551726304,13.79277005981611,20.711388777838767,0.0,0.0006856107605469322,0.008534030292838788,0.07699760830168448,0.2018425080154586,60000000000.0,1e-09,0.0,0
15.084928176536053,13.524201582436627,20.259789892952597,0.0,0.0008993563141846059,0.005020495629067928,0.0810149925752647,0.20912048600815544,60000000000.0,1e-09,0.0,0
15.230612663650318,14.222385290938488,20.83861332828085,0.0,0.0007655224084126333,0.0032606834321532332,0.08634320650810975,0.22877995397464135,60000000000.0,1e-09,0.0,0
14.857987778031237,13.189970131191668,19.86794183722798,0.0,0.0005043286026223729,0.00271833699159956,0.07513918000219526,0.21947043492834273,60000000000.0,1e-09,0.0,0
14.957508679389527,13.014471381622426,19.826838659026134,0.0,0.0011920455644968794,0.0038125367979512377,0.06470771084279003,0.21583214846419177,60000000000.0,1e-09,0.0,0
14.815240911029507,12.276524853096767,19.240697120842373,0.0,0.00115662475655956,0.006968369788405989,0.05626461919579785,0.19351033815952917,60000000000.0,1e-09,0.0,0
14.422407886869944,11.307034452874456,18.32634380751175,0.0,0.0005370188637794888,0.00513137613041543,0.05158866837039571,0.17791598865588712,60000000000.0,1e-09,0.0,0
14.291653354670524,11.444130171060664,18.30899972580037,0.0,0.0002630808146411254,0.005074098959651693,0.0585327577627158,0.18112830242203382,60000000000.0,1e-09,0.0,0
14.909890304760065,13.600754276532069,20.181311794910215,0.0,0.0029844327003677213,0.010210870107269732,0.07646208176456108,0.210533303678922,60000000000.0,1e-09,0.0,0
15.58947135261762,14.758730389998822,21.467457691800462,0.0,0.002344825601758138,0.007882059775145708,0.0806218718407549,0.23120053003232677,60000000000.0,1e-09,0.0,0
15.780258180622173,14.941019718919646,21.731328041754757,0.0,0.001715644976705975,0.004693873307559129,0.08085794282077836,0.23867231552336612,60000000000.0,1e-09,0.0,0
15.021462821571076,13.05971758355358,19.90478758077818,0.0,0.000854505770197368,0.002839018168921857,0.06664023342988336,0.21655828009973563,60000000000.0,1e-09,0.0,0
14.83613109994747,11.997078020493259,19.079849764100263,0.0,0.000579802511381501,0.0030311446345267835,0.051182685453478594,0.19649366181311753,60000000000.0,1e-09,0.0,0
14.617195758231128,12.0412561896099,18.93816945837655,0.0,0.0005240517276727237,0.006181002157178585,0.04997150306266624,0.19678031106074148,60000000000.0,1e-09,0.0,0
15.22882629065869,12.41795342070428,19.650005529897506,0.0,0.0020918789017134753,0.022916316058888667,0.049850620782012633,0.17715085669311173,60000000000.0,1e-09,0.0,0
15.314507074843405,12.848261834964568,19.990296623600642,0.0,0.006079179353284729,0.028782682961545798,0.06462956441403564,0.1657563478472261,60000000000.0,1e-09,0.0,0
16.065848243373583,13.275397915522024,20.841009322199483,0.0,0.0039186283306752775,0.01428229996465033,0.07223279933642707,0.16633081898276852,60000000000.0,1e-09,0.0,0
16.09557692826019,12.92422383055636,20.64226630605308,0.0,0.0045587221301632095,0.01790340187907751,0.06344182259275528,0.15906192657490245,60000000000.0,1e-09,0.0,0
16.32159706326535,12.67006553721457,20.66216569935408,0.0,0.0015148947362472178,0.015864669523206094,0.06623074562613357,0.14812590364788722,60000000000.0,1e-09,0.0,0
16.385342335230597,12.568155323305549,20.650374612783597,0.0,0.0022161090880924625,0.017196543008364863,0.05702222208042602,0.15139784786230112,60000000000.0,1e-09,0.0,0
15.79695956899779,12.349636930656832,20.05137062444597,0.0,0.00338775894591363,0.014332013874220811,0.06840016201579159,0.1490988159371493,60000000000.0,1e-09,0.0,0
15.69548229206474,12.827495592476815,20.270491053003006,0.0,0.002420012607308126,0.014259853593687425,0.07664466925904916,0.15874242132924704,60000000000.0,1e-09,0.0,0
